username;date;retweets;favorites;text;geo;location;mentions;hashtags;id;query;permalink
NS_online;2017-12-15 00:02;0;0;"Wat ontzettend vervelend dat je de de aansluiting hebt gemist . Excuses voor het ongemak. Als je uit eigen initiatief een taxi hebt gepakt, kan ik deze helaas niet vergoeden. ^MZ";;Utrecht;;;"941428279344496640";aansluiting AND gemist;https://twitter.com/NS_online/status/941428279344496640
NS_online;2017-12-14 21:11;0;0;"Ik kan me goed voorstellen dat je hiervan baalt, wat jammer dat je ook je aansluiting hebt gemist . Ben je inmiddels wel alweer onderweg? ^JJ";;Utrecht;;;"941385108573052928";aansluiting AND gemist;https://twitter.com/NS_online/status/941385108573052928
YelleKleykens;2017-12-14 19:58;0;1;"@NMBS Ik zit op IC2617 en moet naar Alken maar door vertraging in Leuven overstap gemist . Trein wordt dan in Leuven nog eens gehalveerd waardoor we nu op elkaar geperst staan. Conducteur weigert aansluiting aan te vragen in Hasselt met IC1542. Schande!";;België;@NMBS;;"941366707939102720";aansluiting AND gemist;https://twitter.com/YelleKleykens/status/941366707939102720
yasmine_jacobs;2017-12-14 13:33;0;0;"Ik moet naar Technopolis Mechelen, de volgende 500 is ondertussen gekomen. Ik heb mijn aansluiting aan het station hierdoor ook gemist & ik zal te laat komen op mijn werk!";;mechelen ;;;"941269833471201281";aansluiting AND gemist;https://twitter.com/yasmine_jacobs/status/941269833471201281
RubenHauben;2017-12-14 10:15;0;0;"De cijfers na 4 dagen #nieuwedienstregeling : - 176 min vertraging - 1 afgeschafte trein - 2 keer aansluiting gemist #nmbs #topbedrijf";;Lanaken, België;;#nieuwedienstregeling #nmbs #topbedrijf;"941220175130628097";aansluiting AND gemist;https://twitter.com/RubenHauben/status/941220175130628097
snoopsel;2017-12-14 09:10;0;0;"Nu zit ik dus in de trein terug naar Amsterdam Zuid, want ik had de aansluiting op Duivendrecht gemist omdat m'n alternatieve route ook vertraging had. Ik zal weten dat ik met de trein reis.";;Utrecht, The Netherlands;;;"941203849594982400";aansluiting AND gemist;https://twitter.com/snoopsel/status/941203849594982400
Debbiemuller75;2017-12-14 08:59;0;0;"Weer zonder melding of iets dergelijks de metro van 07.54 uur uitgevallen. Hoe moeilijk is het?? #optijdrijden #melden @GVB_actueel @GVBnieuws @GVB_klanten . Weer aansluiting gemist , weer wachten, weer te laat pic.twitter.com/uS65MtjLyl";;;@GVB_actueel @GVBnieuws @GVB_klanten;#optijdrijden #melden;"941200908154802178";aansluiting AND gemist;https://twitter.com/Debbiemuller75/status/941200908154802178
VanBruggenwirth;2017-12-14 08:54;0;0;"Nee nog niet. Uiteraard de reguliere aansluiting gemist (niet erg want het was lekker behaaglijk in de trein) en de volgende heeft ook vertraging..... over 10 min kan ik aan het werk (lekker belangrijk ) ik ga nog even lezen!";;;;;"941199741731442688";aansluiting AND gemist;https://twitter.com/VanBruggenwirth/status/941199741731442688
NS_online;2017-12-13 23:40;0;0;"Nee, daar heb je een punt. Ook heel vervelend dat je net de aansluiting op Weesp hebt gemist vanavond. Kan mij voorstellen dat je dit graag anders had gezien. ^SK";;Utrecht;;;"941060315340525568";aansluiting AND gemist;https://twitter.com/NS_online/status/941060315340525568
Flycoman;2017-12-13 18:58;0;0;"En gister ochtend had ik ook al de aansluiting gemist maar dan van de 103 uit Willemstad naar de 117 Breda... Terwijl er tussen de overstap 4 min zit op 9292";;;;;"940989411155734530";aansluiting AND gemist;https://twitter.com/Flycoman/status/940989411155734530
